player,matches_played,total_runs,balls_faced,total_4s,total_6s,extras_given,runs_given,wickets_taken,overs_bowled,player_code
DE Bollinger,4.0,21.0,23.0,1.0,1.0,43.0,584.0,33.0,81.16666666666667,249
S Sriram,2.0,31.0,38.0,3.0,0.0,0.0,49.0,0.0,3.0,250
B Sumanth,4.0,35.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,251
C Madan,1.0,15.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,252
AG Paunikar,5.0,49.0,61.0,9.0,0.0,0.0,0.0,0.0,0.0,253
MR Marsh,24.0,468.0,362.0,40.0,25.0,28.0,472.0,19.0,55.0,254
AJ Finch,72.0,1515.0,1274.0,148.0,55.0,1.0,18.0,0.0,3.3333333333333335,255
STR Binny,61.0,822.0,662.0,62.0,32.0,21.0,658.0,26.0,88.66666666666667,256
Harmeet Singh,4.0,18.0,12.0,3.0,0.0,42.0,663.0,25.0,84.66666666666667,257
IR Jaggi,6.0,66.0,92.0,6.0,0.0,0.0,0.0,0.0,0.0,258
DT Christian,29.0,348.0,321.0,16.0,14.0,50.0,869.0,24.0,102.83333333333333,259
UBT Chand,19.0,283.0,294.0,30.0,9.0,0.0,0.0,0.0,0.0,260
DJ Jacobs,6.0,80.0,79.0,9.0,4.0,0.0,0.0,0.0,0.0,261
AL Menaria,20.0,323.0,294.0,20.0,14.0,4.0,134.0,3.0,17.833333333333332,262
MA Agarwal,116.0,2601.0,2014.0,260.0,95.0,0.0,0.0,0.0,0.0,263
AUK Pathan,6.0,27.0,21.0,2.0,2.0,0.0,44.0,0.0,4.5,264
Sunny Singh,4.0,31.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,265
JJ van der Wath,3.0,18.0,17.0,1.0,1.0,9.0,134.0,3.0,12.666666666666666,266
R Ninan,1.0,3.0,6.0,0.0,0.0,0.0,65.0,3.0,6.0,267
S Aravind,8.0,45.0,47.0,6.0,0.0,44.0,942.0,43.0,114.5,268
DH Yagnik,16.0,158.0,134.0,21.0,2.0,0.0,0.0,0.0,0.0,269
S Randiv,1.0,2.0,4.0,0.0,0.0,6.0,200.0,8.0,26.0,270
BJ Haddin,1.0,18.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,271
MS Wade,12.0,169.0,161.0,23.0,2.0,0.0,0.0,0.0,0.0,272
J Syed Mohammad,5.0,29.0,27.0,4.0,0.0,6.0,260.0,9.0,30.5,273
RN ten Doeschate,19.0,253.0,187.0,19.0,13.0,6.0,84.0,3.0,11.833333333333334,274
TR Birt,3.0,28.0,31.0,2.0,1.0,0.0,0.0,0.0,0.0,275
AG Murtaza,1.0,2.0,5.0,0.0,0.0,13.0,160.0,7.0,24.333333333333332,276
I Malhotra,1.0,7.0,4.0,1.0,0.0,0.0,23.0,0.0,1.0,277
L Ablish,1.0,0.0,2.0,0.0,0.0,4.0,76.0,5.0,7.5,278
AC Blizzard,6.0,114.0,85.0,20.0,2.0,0.0,0.0,0.0,0.0,279
CA Ingram,14.0,192.0,171.0,21.0,5.0,0.0,0.0,0.0,0.0,280
S Nadeem,19.0,33.0,83.0,1.0,0.0,40.0,1599.0,49.0,212.66666666666666,281
VR Aaron,12.0,50.0,73.0,2.0,2.0,126.0,1496.0,46.0,174.5,282
JEC Franklin,13.0,264.0,234.0,20.0,7.0,7.0,161.0,8.0,18.5,283
BA Bhatt,2.0,6.0,7.0,0.0,1.0,11.0,333.0,12.0,42.0,284
Shakib Al Hasan,49.0,748.0,621.0,70.0,19.0,60.0,1767.0,62.0,234.33333333333334,285
F du Plessis,129.0,4256.0,3177.0,395.0,153.0,0.0,16.0,0.0,1.0,286
RE Levi,5.0,83.0,72.0,10.0,4.0,0.0,0.0,0.0,0.0,287
GJ Maxwell,124.0,2683.0,1794.0,226.0,153.0,35.0,1287.0,41.0,156.83333333333334,288
KK Cooper,12.0,116.0,70.0,9.0,8.0,57.0,723.0,35.0,91.66666666666667,289
JP Faulkner,40.0,487.0,372.0,34.0,22.0,99.0,1687.0,69.0,193.16666666666666,290
HV Patel,37.0,249.0,214.0,16.0,15.0,207.0,3102.0,147.0,368.1666666666667,291
DAJ Bracewell,1.0,12.0,9.0,1.0,0.0,1.0,32.0,3.0,4.166666666666667,292
DJ Harris,4.0,111.0,103.0,11.0,5.0,0.0,26.0,0.0,3.0,293
Ankit Sharma,8.0,59.0,50.0,5.0,3.0,11.0,333.0,9.0,45.833333333333336,294
SP Narine,104.0,1518.0,966.0,161.0,97.0,172.0,4495.0,191.0,659.1666666666666,295
AA Chavan,2.0,11.0,8.0,2.0,0.0,14.0,303.0,8.0,39.333333333333336,296
GB Hogg,4.0,22.0,22.0,1.0,0.0,33.0,585.0,25.0,77.66666666666667,297
RR Bhatkal,1.0,0.0,2.0,0.0,0.0,0.0,35.0,0.0,2.0,298
CJ McKay,1.0,8.0,15.0,0.0,0.0,0.0,60.0,1.0,7.0,299
N Saini,10.0,140.0,143.0,16.0,0.0,0.0,0.0,0.0,0.0,300
DA Miller,119.0,2800.0,2091.0,200.0,127.0,0.0,0.0,0.0,0.0,301
Azhar Mahmood,20.0,388.0,307.0,39.0,13.0,24.0,644.0,26.0,84.0,302
NLTC Perera,15.0,219.0,174.0,9.0,14.0,24.0,534.0,16.0,62.0,303
RJ Peterson,4.0,19.0,18.0,2.0,1.0,0.0,70.0,3.0,8.0,304
KMDN Kulasekara,1.0,5.0,3.0,1.0,0.0,5.0,48.0,2.0,8.5,305
A Ashish Reddy,21.0,254.0,177.0,15.0,14.0,13.0,315.0,15.0,35.833333333333336,306
V Pratap Singh,1.0,0.0,1.0,0.0,0.0,10.0,268.0,10.0,31.166666666666668,307
Gurkeerat Singh,31.0,460.0,406.0,52.0,8.0,3.0,82.0,3.0,11.5,308
PA Reddy,9.0,137.0,136.0,13.0,2.0,0.0,0.0,0.0,0.0,309
P Awana,5.0,5.0,14.0,0.0,0.0,42.0,971.0,39.0,116.83333333333333,310
AD Russell,103.0,2471.0,1503.0,171.0,207.0,129.0,2663.0,124.0,291.1666666666667,311
P Negi,31.0,325.0,267.0,25.0,14.0,29.0,891.0,36.0,109.83333333333333,312
A Chandila,2.0,4.0,7.0,0.0,0.0,3.0,209.0,7.0,33.0,313
CA Lynn,42.0,1329.0,974.0,132.0,66.0,0.0,0.0,0.0,0.0,314
P Parameswaran,1.0,0.0,2.0,0.0,0.0,4.0,89.0,5.0,10.333333333333334,315
Sunny Gupta,1.0,0.0,1.0,0.0,0.0,2.0,47.0,0.0,3.1666666666666665,316
MC Juneja,7.0,125.0,134.0,11.0,1.0,0.0,0.0,0.0,0.0,317
KK Nair,65.0,1359.0,1081.0,142.0,39.0,0.0,0.0,0.0,0.0,318
MDKJ Perera,1.0,14.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,319
R Shukla,4.0,19.0,23.0,2.0,0.0,19.0,217.0,7.0,21.666666666666668,320
B Laughlin,4.0,5.0,13.0,0.0,0.0,13.0,284.0,10.0,29.833333333333332,321
AS Rajpoot,7.0,26.0,41.0,2.0,1.0,70.0,829.0,23.0,92.33333333333333,322
JD Unadkat,26.0,195.0,165.0,16.0,7.0,86.0,2826.0,78.0,311.0,323
GH Vihari,21.0,272.0,310.0,22.0,1.0,2.0,48.0,1.0,7.166666666666667,324
Mohammed Shami,21.0,70.0,75.0,6.0,2.0,191.0,3386.0,142.0,411.3333333333333,325
BMAJ Mendis,3.0,23.0,27.0,0.0,0.0,0.0,36.0,1.0,5.0,326
M Vohra,47.0,953.0,778.0,86.0,42.0,0.0,0.0,0.0,0.0,327
R Rampaul,6.0,51.0,51.0,3.0,2.0,19.0,298.0,15.0,42.166666666666664,328
CH Morris,46.0,537.0,377.0,33.0,30.0,148.0,2296.0,101.0,288.5,329
SV Samson,157.0,4275.0,3166.0,339.0,201.0,0.0,0.0,0.0,0.0,330
SMSM Senanayake,3.0,8.0,16.0,0.0,0.0,5.0,189.0,8.0,28.5,331
BJ Rohrer,6.0,173.0,123.0,19.0,5.0,1.0,12.0,0.0,1.1666666666666667,332
KL Rahul,120.0,4644.0,3533.0,398.0,185.0,0.0,0.0,0.0,0.0,333
R Dhawan,21.0,199.0,184.0,18.0,6.0,70.0,874.0,26.0,108.33333333333333,334
MG Johnson,27.0,154.0,154.0,10.0,6.0,100.0,1634.0,56.0,200.5,335
Q de Kock,105.0,3156.0,2393.0,316.0,123.0,0.0,0.0,0.0,0.0,336
BB Samantray,6.0,86.0,77.0,10.0,1.0,0.0,0.0,0.0,0.0,337
CM Gautam,12.0,139.0,132.0,15.0,5.0,0.0,0.0,0.0,0.0,338
X Thalaivan Sargunam,1.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,339
DJG Sammy,20.0,295.0,251.0,15.0,18.0,13.0,354.0,14.0,40.666666666666664,340
MM Sharma,27.0,118.0,125.0,9.0,4.0,75.0,3154.0,139.0,367.3333333333333,341
Sandeep Sharma,25.0,54.0,73.0,4.0,0.0,148.0,3660.0,148.0,472.8333333333333,342
S Kaul,8.0,20.0,34.0,1.0,0.0,64.0,1670.0,57.0,195.16666666666666,343
Sachin Baby,10.0,142.0,119.0,11.0,5.0,0.0,8.0,3.0,1.6666666666666667,344
PV Tambe,6.0,18.0,39.0,1.0,0.0,32.0,833.0,26.0,108.33333333333333,345
NM Coulter-Nile,14.0,74.0,67.0,7.0,3.0,59.0,1063.0,52.0,142.16666666666666,346
SA Yadav,132.0,3504.0,2448.0,377.0,126.0,0.0,8.0,0.0,1.0,347
CJ Anderson,27.0,533.0,425.0,40.0,31.0,27.0,510.0,14.0,50.5,348
NJ Maddinson,3.0,20.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,349
AR Patel,109.0,1606.0,1269.0,105.0,77.0,111.0,3713.0,128.0,511.6666666666667,350
JJ Bumrah,25.0,52.0,69.0,5.0,0.0,222.0,3660.0,174.0,507.6666666666667,351
JDS Neesham,10.0,92.0,93.0,6.0,2.0,14.0,342.0,8.0,37.0,352
SPD Smith,50.0,1232.0,1009.0,122.0,22.0,0.0,0.0,0.0,0.0,353
B Kumar,44.0,191.0,212.0,20.0,1.0,238.0,4193.0,166.0,549.8333333333334,354
TG Southee,18.0,113.0,105.0,8.0,3.0,85.0,1634.0,55.0,194.16666666666666,355
S Rana,7.0,73.0,66.0,7.0,1.0,0.0,16.0,0.0,2.0,356
