id,player_of_match,venue,team1,team2,toss_winner,winner,result,target_runs,target_overs,Home_Win,loser,Home_Loss,Neutral,toss_match_win
729299,CA Lynn,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,151.0,20.0,False,Royal Challengers Bangalore,False,True,False
729301,AJ Finch,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,185.0,20.0,False,Delhi Capitals,False,True,True
729303,MM Sharma,Dubai International Cricket Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,wickets,142.0,20.0,False,Mumbai Indians,False,True,False
729305,PV Tambe,Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,wickets,71.0,20.0,False,Royal Challengers Bangalore,False,True,True
729307,Sandeep Sharma,Sheikh Zayed Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Punjab Kings,runs,133.0,20.0,False,Kolkata Knight Riders,False,True,False
729309,M Vijay,Sharjah Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,wickets,126.0,20.0,False,Mumbai Indians,False,True,False
729311,DR Smith,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,146.0,20.0,False,Sunrisers Hyderabad,False,True,False
729313,Sandeep Sharma,Dubai International Cricket Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,wickets,125.0,20.0,False,Royal Challengers Bangalore,False,True,True
729315,JP Faulkner,Sheikh Zayed Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,tie,153.0,20.0,False,Kolkata Knight Riders,False,True,True
729317,B Kumar,Dubai International Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,runs,173.0,20.0,False,Mumbai Indians,False,True,False
733971,RA Jadeja,JSCA International Stadium Complex,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,runs,149.0,17.0,False,Kolkata Knight Riders,False,True,True
733973,CJ Anderson,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,wickets,169.0,20.0,True,Punjab Kings,False,False,False
733975,KK Nair,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,wickets,153.0,20.0,False,Delhi Capitals,True,False,True
733977,AB de Villiers,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,156.0,20.0,True,Sunrisers Hyderabad,False,False,True
733979,PV Tambe,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,runs,171.0,20.0,False,Kolkata Knight Riders,False,True,False
733981,DR Smith,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,wickets,179.0,20.0,False,Delhi Capitals,True,False,True
733983,RG Sharma,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,runs,188.0,20.0,True,Royal Challengers Bangalore,False,False,False
733985,G Gambhir,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,wickets,161.0,20.0,False,Delhi Capitals,True,False,False
733987,GJ Maxwell,Barabati Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,runs,232.0,20.0,False,Chennai Super Kings,False,True,False
733989,B Kumar,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,runs,135.0,20.0,False,Rajasthan Royals,False,True,False
733991,Sandeep Sharma,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,runs,199.0,20.0,False,Royal Challengers Bangalore,True,False,False
733993,DW Steyn,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,43.0,5.0,False,Delhi Capitals,True,False,True
733995,DR Smith,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,wickets,158.0,20.0,False,Mumbai Indians,True,False,True
733997,G Gambhir,Barabati Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,wickets,150.0,20.0,False,Punjab Kings,False,True,True
733999,JP Faulkner,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,191.0,20.0,False,Royal Challengers Bangalore,True,False,False
734001,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,wickets,158.0,20.0,False,Sunrisers Hyderabad,True,False,False
734003,RA Jadeja,JSCA International Stadium Complex,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,wickets,149.0,20.0,False,Rajasthan Royals,False,True,False
734005,Yuvraj Singh,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,runs,187.0,20.0,True,Delhi Capitals,False,False,False
734007,WP Saha,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,wickets,206.0,20.0,False,Sunrisers Hyderabad,True,False,True
734009,RV Uthappa,Barabati Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,wickets,142.0,20.0,False,Mumbai Indians,False,True,True
734011,AM Rahane,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,runs,202.0,20.0,False,Delhi Capitals,False,True,False
734013,AB de Villiers,JSCA International Stadium Complex,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,wickets,139.0,20.0,False,Chennai Super Kings,False,True,False
734015,UT Yadav,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,143.0,20.0,False,Sunrisers Hyderabad,True,False,False
734017,MEK Hussey,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,runs,179.0,20.0,False,Rajasthan Royals,False,True,True
734019,AR Patel,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,wickets,165.0,20.0,False,Delhi Capitals,True,False,True
734021,DA Warner,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,wickets,161.0,20.0,True,Royal Challengers Bangalore,False,False,False
734023,RV Uthappa,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,155.0,20.0,True,Chennai Super Kings,False,False,True
734025,LMP Simmons,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,wickets,157.0,20.0,False,Punjab Kings,True,False,True
734027,RV Uthappa,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,runs,196.0,20.0,True,Royal Challengers Bangalore,False,False,False
734029,DA Warner,JSCA International Stadium Complex,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,186.0,20.0,False,Chennai Super Kings,False,True,True
734031,MEK Hussey,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,runs,174.0,20.0,True,Delhi Capitals,False,False,False
734033,SE Marsh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,runs,180.0,20.0,True,Rajasthan Royals,False,False,False
734035,MS Dhoni,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,wickets,155.0,20.0,False,Royal Challengers Bangalore,True,False,True
734037,YK Pathan,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,161.0,20.0,True,Sunrisers Hyderabad,False,False,True
734039,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Delhi Capitals,Punjab Kings,Punjab Kings,wickets,116.0,20.0,True,Delhi Capitals,False,False,True
